#SampleID	BarcodeSequence	LinkerPrimerSequence	InputFileName	SampleType	ExperimentalStrategy	Description
s1			UNCID_2045361.f6aa5164-4438-4df2-9e5d-9dd8f5cdfd5e.sorted_genome_alignments.bam	Primary Tumor	RNA-Seq	FFFBF817-1853-4783-B3E3-D05261CF2CD8
s2			UNCID_2597416.37390115-f12c-4cf2-bab0-f56c4a9a4e5c.sorted_genome_alignments.bam	Primary Tumor	RNA-Seq	FFF456B6-FAA8-4F49-B520-D55C0F643C26
s3			UNCID_1131999.71cc9cf0-2992-4ac6-8642-6fdb66958fca.sorted_genome_alignments.bam	Solid Tissue Normal	RNA-Seq	FFF3E5A3-4B84-4AFA-BDB5-1C6B2A6626BC
s4			UNCID_1494813.ab52a17f-05c4-42da-aef7-d2e555786356.sorted_genome_alignments.bam	Solid Tissue Normal	RNA-Seq	FFED75F2-65B9-48B8-A629-1CBBE1074CDA
s5			UNCID_2648373.2410b783-e6c3-4c07-b944-8818d0b0cacb.sorted_genome_alignments.bam	Primary Tumor	RNA-Seq	FFE75DEB-19CE-4BC9-8D1D-252C1917DDFC
s6			UNCID_1729015.131cd009-c2f2-4e38-a72d-2018af79986a.sorted_genome_alignments.bam	Primary Tumor	RNA-Seq	FFE4DFE1-B2FE-448E-8664-8299484FC809
s7			TCGA-KL-8343-01A-11D-2310-10_wgs_Illumina.bam	Primary Tumor	WGS	FFE4DFE1-B2FE-448E-8664-8299484FC809
s8			UNCID_1706052.91aaef0d-6d3f-43e8-90b9-7c8e86beb2c6.sorted_genome_alignments.bam	Primary Tumor	RNA-Seq	FFE3D692-7B81-45D9-BE76-2C580A091539
s9			TCGA-KN-8428-01A-11D-2310-10_wgs_Illumina.bam	Primary Tumor	WGS	FFE3D692-7B81-45D9-BE76-2C580A091539
s10			UNCID_1380834.ca667c68-e9fb-4003-8639-5fa1d00a7a95.sorted_genome_alignments.bam	Primary Tumor	RNA-Seq	FFDCB50D-0E00-49B1-AAF6-F3A920CBCACC
s11			TCGA-AA-3494-11A-01D-1405-02_IlluminaHiSeq-DNASeq_whole.bam	Solid Tissue Normal	WGS	FFCFAE9D-74C1-4E3D-A106-2D5BCB947B68
s12			UNCID_1539930.68de1b36-afde-4fb9-bd5a-38037cd7df11.sorted_genome_alignments.bam	Primary Tumor	RNA-Seq	FFC7B95C-4D40-483B-8F9A-4AFC17460890
s13			G17488.TCGA-14-0790-01B-01R-1849-01.2.bam	Primary Tumor	RNA-Seq	FFC7B95C-4D40-483B-8F9A-4AFC17460890
s14			TCGA-KN-8425-11A-01D-2310-10_wgs_Illumina.bam	Solid Tissue Normal	WGS	FFC74D53-1FBA-4387-A313-834174B6095F
s15			UNCID_1708388.ba365c68-a51f-4802-98b4-7fbf7e35bafc.sorted_genome_alignments.bam	Solid Tissue Normal	RNA-Seq	FFC74D53-1FBA-4387-A313-834174B6095F
s16			UNCID_2077936.d353af66-1298-4da0-b7fd-08671d5dcda9.sorted_genome_alignments.bam	Primary Tumor	RNA-Seq	FFC0798D-602C-495A-AA23-6A5C021AE197
s17			TCGA-B1-A47M-11A-11D-A25F-10_wgs_Illumina.bam	Solid Tissue Normal	WGS	FFC06C44-09CF-4888-9B8B-B78E2CCCC4A9
s18			UNCID_1148247.72967b75-a711-425a-819d-dd673c5edc44.sorted_genome_alignments.bam	Primary Tumor	RNA-Seq	FFB838B0-DB61-4DC9-AADC-41562F677F54
s19			UNCID_1097987.2b7e9552-e34f-4c68-96af-1c01a605df60.sorted_genome_alignments.bam	Solid Tissue Normal	RNA-Seq	FFB185AA-75AC-4696-936B-52F35A345A2D
s20			G25782.TCGA-55-6982-11A-01D-1945-08.2.bam	Solid Tissue Normal	WGS	FFB185AA-75AC-4696-936B-52F35A345A2D
s21			UNCID_2619296.087f71fd-fbd5-47c6-92ed-23286b2ed945.sorted_genome_alignments.bam	Primary Tumor	RNA-Seq	FFAF08D5-9193-45F3-91B3-B32A78DD6724
s22			UNCID_2547930.dcf7eb63-242a-4a7f-9986-1eb75227b9cd.sorted_genome_alignments.bam	Primary Tumor	RNA-Seq	FFAE97BE-02A1-4FC0-BA3B-93A23FAFE0D3
s23			UNCID_2396780.136abc20-19ec-4049-96f9-7fe8dcda7029.sorted_genome_alignments.bam	Primary Tumor	RNA-Seq	FFAA3256-0DC7-4E99-9ED5-CAC165F3750E
s24			UNCID_2489710.ede7cca5-c3f8-43e0-9354-b99821de60c0.sorted_genome_alignments.bam	Primary Tumor	RNA-Seq	FFA67234-EC2A-4E86-A4D8-D35C5266D985
s25			UNCID_1983613.7533fbaf-dbbd-4778-b213-741229a58f4c.sorted_genome_alignments.bam	Primary Tumor	RNA-Seq	FF9EEA7A-7817-49BF-BE11-6EE744C1172A
s26			TCGA-EA-A3Y4-01A-51D-A245_140124_SN1440_0178_AC2PL6ACXX_s_1_rg.sorted.bam	Primary Tumor	WGS	FF97C148-76BA-480E-9456-5DD7D7238373
