#genome	all_coding_data	all_data	asm_name	ass_id	assembly_accession	assembly_level	bioproject	biosample	dwlf	faa_lname	ffn_lname	fna_lname	frn_lname	ftp_path	gbrs_paired_asm	genome	genome_rep	infraspecific_name	isolate	organism_name	outdir	paired_asm_comp	refseq_category	release_type	score_faa	score_fna	score_rrna	score_trna	seq_rel_date	species_taxid	submitter	taxid	taxonomy	version_status	wgs_master
G000881615	Y	N	ViralProj32193	G000881615	GCF_000881615.1	Complete Genome	PRJNA32193		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000881615.1_ViralProj32193	G000881615.faa.bz2	G000881615.ffn.bz2	G000881615.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000881615.1_ViralProj32193	na	G000881615	Full		SVV-001	Senecavirus A	microbes	na	na	Major	0.1	1	0	0	2006/06/14	390157	NA	390157	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Picornavirales|f__Picornaviridae|g__Senecavirus|s__Senecavirus_A	latest	NA
G000955195	Y	N	ViralProj277501	G000955195	GCF_000955195.1	Complete Genome	PRJNA277501		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000955195.1_ViralProj277501	G000955195.faa.bz2	G000955195.ffn.bz2	G000955195.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000955195.1_ViralProj277501	na	G000955195	Full		AHEaCV-19-NZ-4942GA-2012	Avon-Heathcote Estuary associated circular virus 19	microbes	na	na	Major	0.1	1	0	0	2015/02/25	1618242	NA	1618242	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Circoviridae|g__Circoviridae_noname|s__Avon_Heathcote_Estuary_associated_circular_virus_19	latest	NA
G000921355	Y	N	ViralProj255731	G000921355	GCF_000921355.1	Complete Genome	PRJNA255731		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000921355.1_ViralProj255731	G000921355.faa.bz2	G000921355.ffn.bz2	G000921355.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000921355.1_ViralProj255731	na	G000921355	Full		alg49-117	McMurdo Ice Shelf pond-associated circular DNA virus-5	microbes	na	na	Major	0.1	1	0	0	2014/07/14	1521389	NA	1521389	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Viruses_noname|s__McMurdo_Ice_Shelf_pond_associated_circular_DNA_virus_5	latest	NA
G000882255	Y	N	ViralMultiSegProj32175	G000882255	GCF_000882255.1	Complete Genome	PRJNA32175		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000882255.1_ViralMultiSegProj32175	G000882255.faa.bz2	G000882255.ffn.bz2	G000882255.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000882255.1_ViralMultiSegProj32175	na	G000882255	Full		Fz7	Clerodendrum golden mosaic China virus	microbes	na	na	Major	0.1	0.355	0	0	2008/10/01	559878	NA	559878	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Geminiviridae|g__Begomovirus|s__Clerodendrum_golden_mosaic_China_virus	latest	NA
G000924275	Y	N	ViralProj261352	G000924275	GCF_000924275.1	Complete Genome	PRJNA261352		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000924275.1_ViralProj261352	G000924275.faa.bz2	G000924275.ffn.bz2	G000924275.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000924275.1_ViralProj261352	na	G000924275	Full			Seal anellovirus 2	microbes	na	na	Major	0.1	1	0	0	2013/11/21	1427157	NA	1427157	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Anelloviridae|g__Anelloviridae_noname|s__Seal_anellovirus_2	latest	NA
G000850785	Y	N	ViralMultiSegProj14810	G000850785	GCF_000850785.1	Complete Genome	PRJNA14810		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000850785.1_ViralMultiSegProj14810	G000850785.faa.bz2	G000850785.ffn.bz2	G000850785.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000850785.1_ViralMultiSegProj14810	na	G000850785	Full			Spinach latent virus	microbes	na	na	Major	0.1	0.303	0	0	1998/01/31	42680	NA	42680	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Bromoviridae|g__Ilarvirus|s__Spinach_latent_virus	latest	NA
G000921975	Y	N	ViralProj253339	G000921975	GCF_000921975.1	Complete Genome	PRJNA253339		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000921975.1_ViralProj253339	G000921975.faa.bz2	G000921975.ffn.bz2	G000921975.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000921975.1_ViralProj253339	na	G000921975	Full	strain=SPgVkrc	SPgVkrc_RC08	Simian pegivirus	microbes	na	na	Major	0.1	1	0	0	2014/01/28	1454041	NA	1454041	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Flaviviridae|g__Pegivirus|s__Simian_pegivirus	latest	NA
G000883615	N	N	ViralProj34737	G000883615	GCF_000883615.1	Complete Genome	PRJNA34737		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000883615.1_ViralProj34737			G000883615.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000883615.1_ViralProj34737	na	G000883615	Full			Coleus blumei viroid 5	microbes	na	na	Major	0	1	0	0	2009/02/13	598747	NA	598747	k__Viroids|p__Viroids_noname|c__Viroids_noname|o__Viroids_noname|f__Pospiviroidae|g__Coleviroid|s__Coleus_blumei_viroid_5	latest	NA
G000843105	Y	N	ViralProj14281	G000843105	GCF_000843105.1	Complete Genome	PRJNA14281		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000843105.1_ViralProj14281	G000843105.faa.bz2	G000843105.ffn.bz2	G000843105.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000843105.1_ViralProj14281	na	G000843105	Full			Lactococcus phage P335 sensu lato	microbes	na	na	Major	0.1	1	0	0	2002/07/25	354260	NA	354260	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Lactococcus_phage_P335_sensu_lato	latest	NA
G000846625	Y	N	ViralProj14475	G000846625	GCF_000846625.1	Complete Genome	PRJNA14475		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000846625.1_ViralProj14475	G000846625.faa.bz2	G000846625.ffn.bz2	G000846625.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000846625.1_ViralProj14475	na	G000846625	Full			Lactobacillus phage phiAT3	microbes	na	na	Major	0.1	1	0	0	2004/05/25	146269	NA	279281	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Lactobacillus_phage_Lc_Nu|t__Lactobacillus_phage_phiAT3	latest	NA
G000866025	Y	N	ViralProj16205	G000866025	GCF_000866025.1	Complete Genome	PRJNA16205		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000866025.1_ViralProj16205	G000866025.faa.bz2	G000866025.ffn.bz2	G000866025.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000866025.1_ViralProj16205	na	G000866025	Full			Menangle virus	microbes	na	na	Major	0.1	1	0	0	2005/11/14	152219	NA	152219	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Mononegavirales|f__Paramyxoviridae|g__Rubulavirus|s__Menangle_virus	latest	NA
G000895795	Y	N	ViralMultiSegProj81007	G000895795	GCF_000895795.1	Complete Genome	PRJNA81007		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000895795.1_ViralMultiSegProj81007	G000895795.faa.bz2	G000895795.ffn.bz2	G000895795.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000895795.1_ViralMultiSegProj81007	na	G000895795	Full			Sida mosaic Alagoas virus	microbes	na	na	Major	0.1	0.346	0	0	2011/06/27	1046571	NA	1046571	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Geminiviridae|g__Begomovirus|s__Sida_mosaic_Alagoas_virus	latest	NA
